# start - Mon May 28 01:20:03 2018
# beta: 0.016667
# n_ensamble / n_max: 1000.000000 / 40000.000000
# initial energy: 5845394.428599
#
# energy acceptance step
 5.845e+06 0.63613232 2.9e-10
 5.845e+06 0.63705584 2.9e-10
 5.845e+06 0.63797468 2.9e-10
 5.845e+06 0.63888889 2.9e-10
 5.845e+06 0.63979849 2.9e-10
 5.845e+06 0.64070352 2.9e-10
 5.845e+06 0.64160401 2.9e-10
 5.845e+06 0.64250000 2.9e-10
 5.845e+06 0.64339152 2.9e-10
 5.845e+06 0.64427861 2.9e-10
 5.845e+06 0.64516129 2.9e-10
 5.845e+06 0.64603960 2.9e-10
 5.845e+06 0.64691358 2.9e-10
 5.845e+06 0.64778325 2.9e-10
 5.845e+06 0.64864865 2.9e-10
 5.845e+06 0.64950980 2.9e-10
 5.845e+06 0.65036675 2.9e-10
 5.845e+06 0.65121951 2.9e-10
 5.845e+06 0.65206813 2.9e-10
 5.845e+06 0.65291262 2.9e-10
 5.845e+06 0.65375303 2.9e-10
 5.845e+06 0.65458937 2.9e-10
 5.845e+06 0.65542169 2.9e-10
 5.845e+06 0.65625000 2.9e-10
 5.845e+06 0.65707434 2.9e-10
 5.845e+06 0.65789474 2.9e-10
 5.845e+06 0.65871122 2.9e-10
 5.845e+06 0.65952381 2.9e-10
 5.845e+06 0.66033254 2.9e-10
 5.845e+06 0.66113744 2.9e-10
 5.845e+06 0.66193853 2.9e-10
 5.845e+06 0.66273585 2.9e-10
 5.845e+06 0.66352941 2.9e-10
 5.845e+06 0.66431925 2.9e-10
 5.845e+06 0.66510539 2.9e-10
 5.845e+06 0.66588785 2.9e-10
 5.845e+06 0.66666667 2.9e-10
 5.845e+06 0.66744186 2.9e-10
 5.845e+06 0.66821346 2.9e-10
 5.845e+06 0.66898148 2.9e-10
 5.845e+06 0.66974596 2.9e-10
 5.845e+06 0.67050691 2.9e-10
 5.845e+06 0.67126437 2.9e-10
 5.845e+06 0.67201835 2.9e-10
 5.845e+06 0.67276888 2.9e-10
 5.845e+06 0.67351598 2.9e-10
 5.845e+06 0.67425968 2.9e-10
 5.845e+06 0.67500000 2.9e-10
 5.845e+06 0.67573696 2.9e-10
 5.845e+06 0.67647059 2.9e-10
 5.845e+06 0.67720090 2.9e-10
 5.845e+06 0.67792793 2.9e-10
 5.845e+06 0.67865169 2.9e-10
 5.845e+06 0.67937220 2.9e-10
 5.845e+06 0.68008949 2.9e-10
 5.845e+06 0.68080357 2.9e-10
 5.845e+06 0.68151448 2.9e-10
 5.845e+06 0.68222222 2.9e-10
 5.845e+06 0.68292683 2.9e-10
 5.845e+06 0.68362832 2.9e-10
 5.845e+06 0.68432671 2.9e-10
 5.845e+06 0.68502203 2.9e-10
 5.845e+06 0.68571429 2.9e-10
 5.845e+06 0.68640351 2.9e-10
 5.845e+06 0.68708972 2.9e-10
 5.845e+06 0.68777293 2.9e-10
 5.845e+06 0.68845316 2.9e-10
 5.845e+06 0.68913043 2.9e-10
 5.845e+06 0.68980477 2.9e-10
 5.845e+06 0.69047619 2.9e-10
 5.845e+06 0.69114471 2.9e-10
 5.845e+06 0.69181034 2.9e-10
 5.845e+06 0.69247312 2.9e-10
 5.845e+06 0.69313305 2.9e-10
 5.845e+06 0.69379015 2.9e-10
 5.845e+06 0.69444444 2.9e-10
 5.845e+06 0.69509595 2.9e-10
 5.845e+06 0.69574468 2.9e-10
 5.845e+06 0.69639066 2.9e-10
 5.845e+06 0.69703390 2.9e-10
 5.845e+06 0.69767442 2.9e-10
 5.845e+06 0.69831224 2.9e-10
 5.845e+06 0.69894737 2.9e-10
 5.845e+06 0.69957983 2.9e-10
 5.845e+06 0.70020964 2.9e-10
 5.845e+06 0.70083682 3.1e-10
 5.845e+06 0.70146138 3.5e-10
 5.845e+06 0.70208333 3.8e-10
 5.845e+06 0.70270270 4.2e-10
 5.845e+06 0.70331950 4.6e-10
 5.845e+06 0.70393375 5.1e-10
 5.845e+06 0.70454545 5.6e-10
 5.845e+06 0.70515464 6.1e-10
 5.845e+06 0.70576132 6.7e-10
 5.845e+06 0.70636550 7.4e-10
 5.845e+06 0.70696721 8.2e-10
 5.845e+06 0.70756646 9e-10
 5.845e+06 0.70816327 9.9e-10
 5.845e+06 0.70875764 1.1e-09
 5.845e+06 0.70934959 1.2e-09
 5.845e+06 0.70993915 1.3e-09
 5.845e+06 0.71052632 1.4e-09
 5.845e+06 0.71111111 1.6e-09
 5.845e+06 0.71169355 1.7e-09
 5.845e+06 0.71227364 1.9e-09
 5.845e+06 0.71285141 2.1e-09
 5.845e+06 0.71342685 2.3e-09
 5.845e+06 0.71400000 2.6e-09
 5.845e+06 0.71457086 2.8e-09
 5.845e+06 0.71513944 3.1e-09
 5.845e+06 0.71428571 3.7e-09
 5.845e+06 0.71485149 4.1e-09
 5.845e+06 0.71541502 4.5e-09
 5.845e+06 0.71597633 5e-09
 5.845e+06 0.71653543 5.5e-09
 5.845e+06 0.71709234 6e-09
 5.845e+06 0.71764706 6.6e-09
 5.845e+06 0.71819961 7.3e-09
 5.845e+06 0.71875000 8e-09
 5.845e+06 0.71929825 8.8e-09
 5.845e+06 0.71984436 9.7e-09
 5.845e+06 0.72038835 1.1e-08
 5.845e+06 0.72093023 1.2e-08
 5.845e+06 0.72147002 1.3e-08
 5.845e+06 0.72200772 1.4e-08
 5.845e+06 0.72254335 1.6e-08
 5.845e+06 0.72307692 1.7e-08
 5.845e+06 0.72360845 1.9e-08
 5.845e+06 0.72413793 2.1e-08
 5.845e+06 0.72466539 2.3e-08
 5.845e+06 0.72519084 2.5e-08
 5.845e+06 0.72571429 2.8e-08
 5.845e+06 0.72623574 3e-08
 5.845e+06 0.72675522 3.4e-08
 5.845e+06 0.72727273 3.7e-08
 5.845e+06 0.72641509 4.5e-08
 5.845e+06 0.72556391 5.4e-08
 5.845e+06 0.72607880 5.9e-08
 5.845e+06 0.72659176 6.5e-08
 5.845e+06 0.72710280 7.2e-08
 5.845e+06 0.72761194 7.9e-08
 5.845e+06 0.72811918 8.7e-08
 5.845e+06 0.72727273 1.1e-07
 5.845e+06 0.72777778 1.2e-07
 5.845e+06 0.72828096 1.3e-07
 5.845e+06 0.72477064 1.9e-07
 5.845e+06 0.72527473 2.1e-07
 5.845e+06 0.72181818 3e-07
 5.845e+06 0.71971067 4e-07
 5.845e+06 0.58762887 1.8e-06
 5.845e+06 0.56899004 1.8e-06
 5.845e+06 0.56241234 1.8e-06
 5.845e+06 0.53887399 1.8e-06
 5.845e+06 0.53949130 1.8e-06
 5.845e+06 0.49815043 1.8e-06
 5.845e+06 0.48913043 1.8e-06
 5.845e+06 0.48739496 1.8e-06
 5.845e+06 0.47995283 1.8e-06
 5.845e+06 0.45842697 1.8e-06
 5.845e+06 0.45800672 1.8e-06
 5.845e+06 0.41456016 1.8e-06
 5.845e+06 0.38920455 1.8e-06
 5.845e+06 0.36235708 1.8e-06
 5.845e+06 0.34911243 1.8e-06
 5.845e+06 0.30941704 1.8e-06
 5.845e+06 0.29706514 3.4e-07
 5.845e+06 0.29650748 1.8e-07
 5.845e+06 0.29700855 1.6e-07
 5.845e+06 0.29750890 1.5e-07
