# start - Sun May 27 21:49:34 2018
# beta: 0.016393
# n_ensamble / n_max: 8000.000000 / 40000.000000
# initial energy: 10580.532618
#
# energy acceptance step
      8946 0.55202822 0.71
      8970 0.55184534 0.72
      9011 0.55263158 0.73
      9025 0.55341506 0.74
      9023 0.55419580 0.75
      8992 0.55400697 0.76
      9055 0.55478261 0.77
      9075 0.55555556 0.78
      9004 0.55440415 0.8
      9026 0.55517241 0.81
      9034 0.55403087 0.83
      9097 0.55479452 0.84
      9117 0.55555556 0.85
      8958 0.55254237 0.89
      8974 0.54957983 0.92
      9030 0.54757930 0.92
      8969 0.54742097 0.92
      8779 0.54817276 0.92
      8741 0.54710744 0.92
      8704 0.54695222 0.92
      8744 0.54323002 0.92
      8743 0.54308943 0.92
      8800 0.54294976 0.92
      8894 0.54368932 0.92
      8833 0.54006410 0.92
      8747 0.54080000 0.92
      8757 0.54066986 0.92
      8697 0.54054054 0.92
      8731 0.54126984 0.92
      8792 0.53773585 0.92
      8672 0.53677621 0.92
      8711 0.53582555 0.92
      8747 0.53654743 0.92
      8815 0.53395062 0.92
      8829 0.53466872 0.92
      8798 0.53456221 0.92
      8762 0.53039514 0.92
      8897 0.52950076 0.92
      8956 0.52466368 0.92
      8957 0.52537313 0.92
      8987 0.52608048 0.92
      8950 0.52678571 0.92
      9045 0.52748886 0.92
      9109 0.52740741 0.92
      8963 0.52732644 0.92
      9111 0.52569750 0.92
      9259 0.52639296 0.92
      9276 0.52554745 0.92
      9183 0.52623907 0.92
      9064 0.52616279 0.92
      9111 0.52532562 0.92
      8983 0.52525253 0.92
      8855 0.52367288 0.92
      8900 0.52435530 0.92
      8944 0.52428571 0.92
      8910 0.52421652 0.92
      8941 0.52414773 0.92
      8968 0.52259887 0.92
      8964 0.52327221 0.92
      9010 0.52320675 0.92
      9025 0.52387640 0.92
      9323 0.52380952 0.92
      9329 0.52374302 0.92
      9392 0.52440725 0.92
      9333 0.52433936 0.92
      9399 0.52282158 0.92
      9439 0.51989026 0.92
      9290 0.52054795 0.92
      9147 0.52049180 0.92
      9100 0.52114598 0.92
      9012 0.51826793 0.92
      9009 0.51682369 0.92
      9071 0.51539491 0.92
      9093 0.51604278 0.92
      9253 0.51600000 0.92
      9241 0.51595745 0.92
      9316 0.51660027 0.92
      9222 0.51655629 0.92
      9214 0.51583113 0.92
      9068 0.51511170 0.92
      9042 0.50906736 0.92
      9044 0.50904393 0.92
      9065 0.50576184 0.92
      8944 0.50574713 0.92
      8987 0.50573248 0.92
      9097 0.50443599 0.92
      9237 0.50378788 0.92
      9192 0.50441362 0.92
      9321 0.50440252 0.92
      9286 0.50375940 0.92
      9329 0.50249377 0.92
      9540 0.50124069 0.92
      9552 0.50061805 0.92
      9560 0.49694002 0.92
      9519 0.49694750 0.92
      9530 0.49756098 0.92
      9560 0.49817296 0.92
      9506 0.49817740 0.92
      9608 0.49818182 0.92
      9716 0.49818622 0.92
      9747 0.49879227 0.92
      9756 0.49819495 0.92
      9747 0.49879808 0.92
      9690 0.49820359 0.92
      9576 0.49820789 0.92
      9522 0.49821216 0.92
      9486 0.49880952 0.92
      9438 0.49528302 0.92
      9352 0.49587750 0.92
      9356 0.49588719 0.92
      9370 0.49589683 0.92
      9414 0.49648712 0.92
      9390 0.49533800 0.92
      9432 0.49477352 0.92
      9449 0.49307159 0.92
      9388 0.49365629 0.92
      9412 0.49197248 0.92
      9487 0.49142857 0.92
      9402 0.49200913 0.92
      9299 0.48979592 0.92
      9241 0.49037373 0.92
      9295 0.49095023 0.92
      9264 0.48986486 0.92
      9343 0.48988764 0.92
      9351 0.49046016 0.92
      9305 0.49103139 0.92
      9283 0.49160134 0.92
      9225 0.49107143 0.92
      9188 0.49054505 0.92
      9137 0.49002217 0.92
      9179 0.49004425 0.92
      9068 0.48898678 0.92
      8957 0.48954895 0.92
      9008 0.48849945 0.92
      8940 0.48852459 0.92
      8925 0.48908297 0.92
      8978 0.48964013 0.92
      8965 0.49019608 0.92
      8949 0.49075082 0.92
      9010 0.49130435 0.92
      9130 0.49132321 0.92
      9146 0.48817204 0.92
      9157 0.48767417 0.92
      9222 0.48614072 0.92
      9167 0.48668797 0.92
      9238 0.48723404 0.92
      9205 0.48726115 0.92
      9181 0.48780488 0.92
      9188 0.48834746 0.92
      9191 0.48785639 0.92
      9170 0.48839662 0.92
      8997 0.48842105 0.92
      8995 0.48895899 0.92
      8919 0.48744770 0.92
      8957 0.48544699 0.92
      9043 0.48397104 0.92
      9012 0.48400413 0.92
      9092 0.48453608 0.92
      9091 0.48406989 0.92
      9010 0.48459959 0.92
      9125 0.48512821 0.92
      9089 0.48515865 0.92
      9090 0.48469388 0.92
      9221 0.48521916 0.92
      9149 0.48574338 0.92
      9176 0.48527919 0.92
      9138 0.48580122 0.92
      9184 0.48632219 0.92
      9037 0.48684211 0.92
      8966 0.48736097 0.92
      8935 0.48689516 0.92
      8910 0.48741188 0.92
      8988 0.48792757 0.92
      9058 0.48844221 0.92
      9047 0.48797595 0.92
      9173 0.48702595 0.92
      9156 0.48705179 0.92
      9125 0.48659384 0.92
      9157 0.48613861 0.92
      9205 0.48568608 0.92
      9075 0.48571429 0.92
      9138 0.48574238 0.92
      9233 0.48624754 0.92
      9220 0.48627451 0.92
      9169 0.48630137 0.92
      9077 0.48680352 0.92
      9027 0.48682927 0.92
      9046 0.48543689 0.92
      9168 0.48499516 0.92
      9173 0.48549323 0.92
      9198 0.48365385 0.92
      9232 0.48322148 0.92
      9364 0.48095238 0.92
      9357 0.48098859 0.92
      9348 0.48056872 0.92
      9347 0.47879359 0.92
      9397 0.47392924 0.92
      9448 0.47397770 0.92
      9303 0.47402597 0.92
      9286 0.47188940 0.92
      9299 0.47237569 0.92
      9199 0.47286109 0.92
      9115 0.47161172 0.92
      8988 0.47166362 0.92
      9033 0.47042766 0.92
      9022 0.47090909 0.92
      9047 0.47138965 0.92
      9048 0.47144152 0.92
      9135 0.47021661 0.92
      8971 0.46984698 0.92
      9028 0.46947935 0.92
      8811 0.46953405 0.92
      8726 0.46916890 0.92
      8665 0.46838825 0.92
      8759 0.46844444 0.92
      8899 0.46850044 0.92
      8849 0.46855624 0.92
      8888 0.46819788 0.92
      9001 0.46866726 0.92
      9066 0.46913580 0.92
      9079 0.46960352 0.92
      9094 0.46965699 0.92
      9088 0.46971027 0.92
      8992 0.47017544 0.92
      9060 0.46981627 0.92
      8951 0.47027972 0.92
      8983 0.46869565 0.92
      9098 0.46431642 0.92
      9013 0.46477663 0.92
      8977 0.46523605 0.92
      9063 0.46331058 0.92
      9038 0.46376812 0.92
      8891 0.46422487 0.92
      8872 0.46389125 0.92
      8767 0.46355932 0.92
      8952 0.46401355 0.92
      8997 0.46446701 0.92
      9004 0.46491970 0.92
      9025 0.46458685 0.92
      9042 0.46503791 0.92
      8964 0.46548822 0.92
      9020 0.46593776 0.92
      8968 0.46560403 0.92
      9073 0.46605197 0.92
      8946 0.46649916 0.92
      8911 0.46655518 0.92
      8864 0.46700084 0.92
      8990 0.46744574 0.92
      9064 0.46750000 0.92
      9051 0.46794338 0.92
      9021 0.46799667 0.92
      9032 0.46804979 0.92
      8985 0.46810273 0.92
      9048 0.46854305 0.92
      9089 0.46859504 0.92
      9102 0.46903386 0.92
      9118 0.46908491 0.92
      9128 0.46952224 0.92
      9137 0.46918652 0.92
      9160 0.46808511 0.92
      9185 0.46737357 0.92
      9313 0.46704638 0.92
      9156 0.46672078 0.92
      9268 0.46715328 0.92
      9076 0.46682848 0.92
      9059 0.46500402 0.92
      9093 0.46543408 0.92
      9139 0.46548957 0.92
      9125 0.46480000 0.92
      9126 0.46485623 0.92
      9092 0.46454183 0.92
      9114 0.46422893 0.92
      8993 0.46465449 0.92
      8954 0.46507937 0.92
      8920 0.46550357 0.92
      8908 0.46408840 0.92
      8896 0.46123727 0.92
      8994 0.45985970 0.92
      8986 0.46028037 0.92
      9089 0.46070039 0.92
      9016 0.46111975 0.92
      8974 0.46082234 0.92
      8977 0.46088304 0.92
      9038 0.46094354 0.92
      9102 0.46064815 0.92
      9151 0.46106399 0.92
      9151 0.46147920 0.92
      9173 0.46189376 0.92
      9132 0.46230769 0.92
      9106 0.46236559 0.92
      9212 0.46277820 0.92
      9211 0.46283525 0.92
      9175 0.46077685 0.92
      9129 0.46048632 0.92
      9133 0.46089598 0.92
      9165 0.46130501 0.92
      9366 0.46171342 0.92
      9200 0.46107332 0.92
      9182 0.46148036 0.92
      9136 0.46119066 0.92
      9093 0.46090226 0.92
      9147 0.46130729 0.92
